beer_name,beer_rating,brewery_location,brewery_name,review_content,reviewer_name
Blech.Brut Varadero,3.7,"Bamberg, Bavaria",Blech.Brut,"33cl Can @ Craftbeer-shop.com, Parchim, Germany.
Hazy golden colour with a medium size white head.
Aroma is hops, citrus, tropical fruits.
Taste is hops, citrus, mango, pineapple.
Medium body, average carbonation.",melush
Superfreunde Happy Fuckin' Daze,3.6,"Hamburg, Hamburg",Superfreunde,"33cl Can @ Craftbeer-shop.com, Parchim, Germany.
Hazy golden colour with a thin white head.
Aroma is hops, citrus, herbs.
Taste is hops, citrus, herbs, slightly malty.
Medium body, average carbonation.",melush
Cloudwater A Scabrous Edge Of The Sky,4.0,"Manchester, Greater Manchester",Cloudwater Brew Co,"44cl Can @ Kihoskh, Copenhagen, Denmark.
Hazy golden colour with a thin white head.
Aroma is hops, citrus, fruits, pine.
Taste is hops, citrus, grapefruit, peach, resin, herbs.
Medium body, average carbonation.",melush
Giesinger Red Ale,3.4,"Munich, Bavaria",Giesinger Bräu,"33cl Bottle @ Craftbeer-shop.com, Parchim, Germany.
Brown colour with a thin white head.
Aroma is malt, sweet, slightly nutty and citrusy.
Taste follows the aroma.
Medium body, average carbonation.",melush
Rochester Mills Milkshake Stout (Imperial Blueberry Pancake),3.8,"Rochester, Michigan",Rochester Mills Beer Company,"47,3cl Can @ The Beer Shop, Kontich, Belgium.
Black colour with a thin tan head.
Aroma is roasted malt, chocolate, vanilla, blueberries.
Taste is roasted malt, milk chocolate, vanilla, caramel, toffee, blueberries.
Medium body, average carbonation.",melush
Rochester Mills Milkshake Stout (Chocolate Cheesecake),3.6,"Rochester, Michigan",Rochester Mills Beer Company,"47,3cl Can @ The Beer Shop, Kontich, Belgium.
Dark brown colour with a thin tan head.
Aroma is roasted malt, cocoa, vanilla.
Taste is roasted malt, milk chocolate, sweet, vanilla, hints if coffee and cheesecake.
Medium body, average carbonation.",melush
Three Blind Mice Old Brown Mouse,2.9,"Little Downham, Cambridgeshire",Three Blind Mice Brewery,"Cask Cambridge beer festival
Sweet brown nutty bitter
Lacking any real bite or body but ok for a session beer with no lasting harm
Creamy head",bowling
Three Blind Mice 3 At 3 At 3,3.2,"Little Downham, Cambridgeshire",Three Blind Mice Brewery,"Cambridge winter beer festival
Quite sweet very harmless no real bite would only have one 
No head as such 
Chocolate notes and a heavy feel",bowling
Westmalle Dubbel,3.6,"Malle, Belgium",Brouwerij der Trappisten van Westmalle,"330ml (7%) at home on 25 Apr 2020, purchased from Tesco, Whitletts Road, Ayr on 22 Apr 2020 (bbe 4 Sep 2021): floral, fruity, esters aroma, deep chestnut brown, slight haze, creamy beige head, fruity, toffee flavour, little ethanol, viscous, surprisingly rather fizzy, sweet malty finish.",mr_h
Schneider Weisse Tap 4 Meine Festweisse,3.9,"Kelheim, Bavaria",Schneider Weisse G. Schneider & Sohn GmbH,Lichtbruin bier met mooie stevige schuimkraag. Smaak is niet echt typisch Weizen maar ietwat bitterder en meer fruit met iets van sinaasappel en perzik. Een heel bijzondere maar erg fijne Weizen.,Icedwarf
Warsteiner Brewers Gold,2.7,"Warstein , North Rhine-Westphalia",Warsteiner Brauerei,"Bräunliche, bernsteinartige Farbe. Die Schaumkrone ist stabil und cremig. Geruch nach Malz. Ein vollmundiges Bier. Im Geschmack gibt es viel Malz, das im Laufe immer süßer wird. Alles in allem erinnert es sehr an Karamalz, nur mit Alkohol. Nichts außergewöhnliches. Man hätte es einfach Aauch Kellerbier nennen können.",BarleyTeam16
Northern Monk Patrons Project 5.01 Striding Edge Light IPA,3.9,"Leeds, West Yorkshire",Northern Monk Brew Co.,"Pleasantly crisp, refreshing, thin bodied, some grapefruit and pale malt sweetness.",panda_brewmaster
O'Connor Norfolk Canyon Pale Ale,3.6,"Norfolk, Virginia",O'Connor Brewing Company,"Crisp towards bitter, somewhat malty with subtle grapefruit and pale malt sweetness.",panda_brewmaster
St. Austell Tribute (Bottle/Can),3.9,"St. Austell, Cornwall",St. Austell Brewery,"500ml bottle brewed in England at 4.2%. 1/3 fluffy head, clear picturesque amber. Orange citrus aroma with a hint of 'supermarket'. Lowish carbonation. Clear as day orange/tangerine citrus hops with a hint of grapefruit but no astringency. Retiring but well-integrated pale biscuit malt comes back in the aftertaste. All-in-all a lovely little pale ale, plenty of flavour, never mind for a supermarket offering at the ABV, and refreshing as you like. A hidden gem.",LagerGuide122
Lagunitas India Pale Ale (IPA),3.7,"Petaluma, California",Lagunitas Brewing Company (Heineken),"Testa bianca compatta e persistente con texture fine, corpo limpido color rame con splendidi riflessi arancio. Profumo di malto, pane e miele, agrumi, luppolatura erbacea. Al palato elegante base maltata, caramello, cracker, la parte luppolata porta sensazioni agrumate ed un bel finale luppolato, erbaceo e resinoso di pino. Ben bilanciate le componenti dolce e amaro. Corpo leggero ma solido e frizzantezza media e pungente. Buon IPA vecchia scuola.",Guaro
Häffner Bräu Hopfenstopfer Dark Red Temptation,2.9,"Bad Rappenau, Baden-Württemberg",Häffner Bräu Bad Rappenau,"Bottled. A hazy amber beer with a yellowis head. The aroma has notes of lemons and straw. The flavor is sweet with notes of lemons and straw, leading to a bitter finish.",Ungstrup
Founders Barrel Aged CBS (Canadian Breakfast Stout),4.5,"Grand Rapids, Michigan",Founders Brewing Company (Mahou San Miguel),"Robe noire et légère mousse sombre. Arôme de chocolat et café très entrelacé, avec légère note de vanille. Le goût n'est pas incroyablement puissant, mais se développe longuement, et le sucre reste très longuement en bouche. Elle réchauffe bien, ce qui n'est pas étonnant vu le taux d'alcool.
Un peu trop sucré, mais c'est apparemment un caractéristique classique des Founders.",HopsMaestro35
Engel Crailsheim Hefeweizen Hell,3.8,"Crailsheim, Baden-Württemberg",Biermanufaktur Engel Crailsheim,"Bottle. Banana-laden with a touch of vanilla, light citrus and clove. Very crisp, very drinkable, excellent hefeweizen.",ElDesmadre
Augustiner Edelstoff,3.2,"Munich, Bavaria",Augustiner-Bräu,"Bottle. Grain, biscuits, a shy hoppy touch, light sulphur, very light biterness in a bready finish. Tasty.",ElDesmadre
Tucher Bajuvator Doppelbock,3.1,"Fürth, Bavaria",Tucher Bräu Fürth (Radeberger Gruppe),"Bottle. Caramel, nuts, breadcrust, raisins, chewy body. No flavour depth and a fast diminishing finish. Decent.",ElDesmadre
Uerige / Kehrwieder Jrön Grünhopfen-Sticke,3.2,"Düsseldorf, North Rhine-Westphalia",Uerige Obergärige Hausbrauerei,"Bottle. Strongly on the hoppy side of things, with prominent herbal and grassy notes and a strong bitterness. Unfortunately the altbier malt complexity is lost here, with a subtle breadiness being its remainder. A bit estery as well. Tasty though disappointing as well.",ElDesmadre
Rothaus Hefeweizen,3.5,"Grafenhausen, Baden-Württemberg",Badische Staatsbrauerei Rothaus,"Bottle. Banana, pear, vanilla - heavy on the estery side. The flavour could use more strength albeit this is a very good hefeweizen.",ElDesmadre
Fuller's India Pale Ale (Bottle/Keg),2.8,"Chiswick, Greater London",Fuller's Brewery (Asahi),"Bottle. Ripe red apples, pear, earthy hops, light floral and herbal, medium body, medium bitterness, light sulphur. Not captivating and a letdown coming from this brewer.",ElDesmadre
Scheyern Kloster (Poculator) Doppelbock Dunkel,3.8,"Scheyern, Bavaria",Kloster-Brauerei Scheyern,"Bottle. Caramel, breadcrust, light chocolate, nutty finish with an earthy, light roasted bitterness, quite chewy body. Excellent.",ElDesmadre
Hofbräu München Winterzwickl,3.0,"Munich, Bavaria",Hofbräuhaus München,"Bottle. Grain, but also breadcrust, caramel, subtle nutty chocolate, light hops. The dark malty tones are very subtle here, this is still a zwickl, albeit light tweaked. Decent.",ElDesmadre
Hoppin' Frog QORIS The Quasher,3.6,"Akron, Ohio",Hoppin' Frog Brewery,"330ml bottle (beerdome.nl) as ""Q.O.R.I.S. the Quasher"" (7:4:7:4:14=3.6)
Nice roasty aroma. Burnt toastiness. Nice spicy taste, but only gentle spicy, mostly it's the burnt edge of a baking tray when you've been making brownies. Very rosated, but toffee and caramel sweetness too. A bear hug - it's warm and strong but nice to cuddle up to. Palate is pleasantly full. Really roasty finish, I do quite like this. Nice. Yum.",FatPhil
Theakston Old Peculier (Bottle),3.2,"Masham, North Yorkshire",Theakston,"Bottle. Fruity, cherry, banana, pomegranate, red apple, nuts, caramel, molasses, licorice. Complex yet not deep, rather shallow flavour with a light astringent mouthfeel. Good but not as good as expected.",ElDesmadre
Ayinger Lager Hell,3.2,"Aying, Bavaria",Brauerei Aying,"Bottle. Clean malt profile, subtle hoppy note, light sweetness, low bitterness. High drinkability. Tasty.",ElDesmadre
Schorschbräu Schorschbock Ice 13 Dunkler Eisbock,3.3,"Gunzenhausen-Oberasbach, Bavaria",Kleinbrauerei Schorschbräu,"330ml bottle - thanks martjoobolut! (6:4:6:4:13=3.3)
Sweet malty brew. Deadish palate, but nicely full as you'd expect from a strong bock. Treacly sweet taste, malty. Heavy. Kinda like it, but it's overegged.",FatPhil
Diamond Knot India Pale Ale,3.5,"Mukilteo, Washington",Diamond Knot Brewery,"Keg at Brouwer’s Cafe, Seattle, WA on 07/09/2008.  The last beer I had in the US, before moving on to Canada.  It was nice, but maybe I should have gone out on a bigger bang?  Solid IPA, with piney and mango notes.",Beese
Ayinger Kellerbier,3.5,"Aying, Bavaria",Brauerei Aying,"Bottle. Clean malt profile, light yeasty notes, faint caramelly cake, light herbal/grassy, lemony and spicy hops. Simple, straightforward yet not banal. Very tasty.",ElDesmadre
Sierra Nevada Double DeBOCKel Beer,3.6,"Chico, California",Sierra Nevada Brewing Company,"Keg at Brouwer’s Cafe, Seattle, WA on 07/09/2008.  A big bock, with loads of prunes, dates, raisins and chewy grain flavours.",Beese
Ayinger Urweisse,4.4,"Aying, Bavaria",Brauerei Aying,"Bottle. Nutmeg, vanilla, clove, cinnamon, incense, baked apple, baked banana, light caramelly pear. This one has the crispness and drinkability of a regular weizen and the complexity of a weizenbock. Mindblowing.",ElDesmadre
Roslyn Beer (Dark Lager),3.5,"Roslyn, Washington",Roslyn Brewing Company,"Keg at Brouwer’s Cafe, Seattle, WA on 07/09/2008.  Seemed pretty spot on for a good German dunkel.  Nice and malty, with some berry and rye notes.",Beese
Boulder Beer Cold Hop,3.4,"Boulder, Colorado",Boulder Beer Company,"Keg at Brouwer’s Cafe, Seattle, WA on 07/09/2008.  A fruity and slightly less bitter (for the day) IPA, with a passionfruit and mango note.",Beese
Robinsons Old Tom (Bottle),1.0,"Stockport, Greater Manchester",Robinsons Family Brewery,"Overbearing amounts of acetaldehyde in my bottle (green apples), minor notes of sherry, caramel, walnuts. Unfortunately this one was just one major flaw turned into beer. Undrinkable.",ElDesmadre
John Sleeman Presents India Pale Ale,3.3,"Guelph, Ontario",Sleeman Brewing & Malting Co. (Sapporo),"12oz bottle at Bottleworks, Seattle, WA on 07/09/2008.  Thought this was a pretty decent IPA; crisp and quite bitter with a zesty lemon nose.",Beese
Acme California IPA,3.5,"Fort Bragg, California",North Coast Brewing Company,"12oz bottle at Bottleworks, Seattle, WA on 07/09/2008.  ￼A solid IPA, with nice zesty and piney notes.  Citrus in the flavour.  Bitter finish.",Beese
Cerveza Panama Lager,1.5,"San Cristobal, Panama",Cervecerias Baru Panama,"330ml can - Thanks Sergei! As ""Panama Classic Lager"" at 4.4% (3:2:3:2:5=1.5)
Papery macro lager aroma, starchy and paper glue. Ditto taste, some fruity esters. Watery and fizzy. Carbonic acid and paper glue finish.",FatPhil
Weltenburger Kloster Asam Bock,3.5,"Kelheim, Bavaria",Klosterbrauerei Weltenburg,"Bottle. Breadcrust, plum, caramel, quite full body, licorice in the finish, sweet. Very tasty.",ElDesmadre
North Coast Blue Star,3.1,"Fort Bragg, California",North Coast Brewing Company,"12oz bottle at Bottleworks, Seattle, WA on 07/09/2008.  From the label I was almost expecting this to be a Newcastle Brown approximation.  It’s a pretty solid wheat beer, in reality.  Some grassy, straw notes on the nose.  Light soft fruit flavour.",Beese
St. Austell Proper Job (Bottle),3.5,"St. Austell, Cornwall",St. Austell Brewery,"Bottle. Biscuits, floral notes, orange, orange marmelade, a soft lemony touch. Medium body, hoppy flavour, earthy/herbal, medium bitterness. Very good.",ElDesmadre
Left Hand Polestar Pilsner,3.1,"Longmont, Colorado",Left Hand Brewing Company,"12oz bottle at Bottleworks, Seattle, WA on 07/09/2008.  A solid Pilsner, with a bready malt nose and some perfumed hop notes.  Easy drinking.",Beese
Dick's Imperial Stout,3.4,"Centralia, Washington",Dick's Brewing Company,"Keg at Bottleworks, Seattle, WA on 07/09/2008.  Quite a smooth stout; not all that big for an ‘imperial’.  Sweeter flavours upfront and a bitter burnt malt linger.  Medium to full body.",Beese
Veldensteiner Rotbier,3.0,"Neuhaus an der Pegnitz, Bavaria",Kaiser Bräu,24-04-20 // taster from a 500ml bottle. Clear amber. Caramel malty nose. Roch malty aroma. Caramel malts all the way. Malt sweetness. Liw bitterness.,rhoihessegold
Butte Creek Organic Porter,3.0,"Ukiah, California",Butte Creek Brewing Company,"12oz bottle at Bottleworks, Seattle, WA on 07/09/2008.  A solid Porter with dark malt and chocolate notes.  Slightly thin body.",Beese
Greenbrier Valley Brewing Company Mothman Black IPA,3.8,"Maxwelton, West Virginia",Greenbrier Valley Brewing Company,"A nice IPA.  Good flavor with solid hops while not being , not too West-Coast bitter hoppy",bigben873
Zötler Mai Bock,3.3,"Rettenberg/Oberallgäu, Bavaria",Privat-Brauerei Zötler,"23-04-20 // 500ml bottle from Stumpf. Pours a clear darker golden beer with a solid white ehad. Nose of sweetish malts. Aroma is rich malty, bread and careml, light sugary,wort, soft.",rhoihessegold
Ichtegems Grand Cru,3.7,"Ichtegem, Belgium",Brouwerij Strubbe,"Clear light brown, with reddish hints if seen through light, a bit more hazy on second pour. Small head soon recedes to a thin layer. Nice lacing though. Slightly subdued but nice aroma shows a sweet base of caramel malt, red fruit notes, light vinegar sourness and woody/oaky hints with possibly the slightest bit of oxidation. Taste follows the aroma, now much more lively, with excellent definition and good complexity. Sweetness and sourness in good balance with none standing out in an overall highly drinkable version of the style. Balanced finish too, with a light bit of earthiness. Medium bodied with low to medium, fine carbonation. The overall result is a smooth but still somewhat creamy mouthfeel that i really enjoyed. A well made oud bruin.",ozzatoadisback
Blech.Brut Temporary View,3.9,"Bamberg, Bavaria",Blech.Brut,23-04-20 // 330ml can from naiv. Juicy hazy pale yellow. Grassy citrus note. Soft with a light fizz. Grassy. Some light yellow fruit. Good.,rhoihessegold
Atelier der Braukünste MUTE.,4.0,"Romrod, Hesse",Atelier der Braukünste,23-04-20 // 330ml bottle from naiv. Hazy yellow. Fine white head. Gooseberry. Quite dry. Not punchy fruity which is quite nice. A light hop burn. Light bitter finish. Easy drinking. Good.,rhoihessegold
Oberdorfer Helles,3.1,"Kempten, Bavaria",Allgäuer Brauhaus (Radeberger Gruppe),23-04-20 // 500ml bottle from Stumpf. Pours claer golden and with a white head. Easy solid Helles. Smooth drinking.,rhoihessegold
Orca / Goafbeer and Friends Fly on Fruits Vol. 2,3.7,"Nürnberg, Bavaria",Orca Brau,22-04-20 // 330ml bottle from wir komplizen. Milkshake IPAs are a crazy weird thing. Mostly I dont like the lactose in it. It’s too sweetish for me. Here the fruit acidity balances it quite good. Juicy fruity with lactose sweetness.,rhoihessegold
Rogue Newport Daze,4.0,"Newport, Oregon",Rogue Ales,"Can. Sweet pineapple aroma with notes of tangerine, peach and a little bit of grapefruit. Pours hazy golden colored with a large white head that has excellent retention and little lacing. Starts with bright and juicy pineapple and peach flavors. Finishes smooth and a touch dry with tangerine and light grapefruit citrus flavors. Refreshing hazy IPA.",zoucrew102
Glaabsbräu Stöffche,3.7,"Seligenstadt, Hesse",Privatbrauerei Glaab,22-04-20 // 330ml bottle from nai. 50% applewine and 50% beer. Way better execution as the Binding one ;). This is easy and refreshing. More applewine character. Good fizzyness. Subtle malt sweetness. Would drink again.,rhoihessegold
Atelier der Braukünste GODMODE.,4.1,"Romrod, Hesse",Atelier der Braukünste,22-04-20 // 330ml bottle from naiv. Godmode unlocked (well atleast almost;)). Thick juicy hoppy. Very fresh hoppy. A little green dankness. Tropic yellow fruity. Appropriate bitterness. I like!,rhoihessegold
FrauGruber Velvet Horizon,3.9,"Gundelfingen , Bavaria",FrauGruber Brewing,22-04-20 // can shared. From naiv. Straight from the can along a pizza this was great! Fresh thick hoppy. Probably wouldn’t have guessed Pale Ale.,rhoihessegold
Brewheart® Robohop,3.9,"Otterfing, Bavaria",Brewheart,20-04-20 // 440ml can. Hazy juicy yellow. Nose is not inspiring. Not punchy hoppy. Thick yellow fruity juicy. Quite bitter but still in balance. Good.,rhoihessegold
Brasserie Générale 18e Réverbère #7,4.2,"Québec, Quebec",BG - Brasserie Générale,"super fresh can that pours cloudy grey-golden-orange with a very nice creamy white cap offering some retention and lacing. creamy yet stingy pineapples, sulfurized onions, candied garlic, juicy white peaches, diesel, fruity yeast action. moderate carbonation, light body - oily and juicy; smooth and creamy (yet tingling) tropical-citrusy finish. full-blown citra. a citra delight.",czar
Blaugies La Moneuse,2.4,"Dour-Blaugies, Belgium",Brasserie de Blaugies,"La birra al momento della degustazione si presenta con pochissima schiuma, caratteristica di questa tipologia di birra. Il colore è un giallo dorato opalescente. Al naso profumi di erba tagliata, agrumata al limone e buccia di cedro. In bocca una sensazione di banana verde. Sinceramente non mi ha lascito un ricordo di una bevuta sensazionale.",paolobaraldi
Eschweger Jacobinus Bierspezialität Classic,2.7,"Eschwege, Hesse",Eschweger Klosterbrauerei,"Aroma: crystal malt, some hop presence 
Appearance: pale gold, fluffy white head and sudsy lacing
Flavour: noticeable clean hop in a basic Pilsner Lager.",Choos
L'Octant Hypernova,3.8,"Rimouski, Quebec",L'Octant - Microbrasserie,"fresh can that pours kinda hazy light yellow-gold with a quite nice white cap offering some retention and lacing. spicy lemons, lean mildly fruity pale maltiness, sulphuric resin, clean yeast action. moderate carbonation, ligth body - oily; balanced spicy-lemony finish. not your classic C hop thing - a local centennial that comes out really great in a lemon verbena fashion. impresive centennial turnout.",czar
Wild Beer Yankee Sandwich,3.4,"Shepton Mallet, Somerset",Wild Beer,"Bottled, 330ml from Cotteridge Wines, Birmingham. Very dark brown with cream head. Rich chocolate, bittering flavours from the off. Fullish, roasty malty with a background fruitiness. The peanut does come through but at a reasonable level, some vanilla cream. It's fine.",imdownthepub
Ursula Skyrocket 23,3.0,"Aurora, Colorado",Ursula Brewery,Pint can. Grainy malt aroma with notes of bread and grassy hops. Pours clear pale golden colored with a thin white head that has good retention and lacing. Starts with grain and bready malt flavors. Finishes crisp and dry with grassy hop flavors. Fairly standard American light lager with a strong bitter hop bite at the end. OK.,zoucrew102
Firestone Walker Union Jack IPA,3.2,"Paso Robles, California",Firestone Walker Brewing (Duvel-Moortgat),"A contender for most popular beer by Firestone. This one is another IPA, strong, but enjoyable.",bpreo
Buxton Wyoming Sheep Ranch,3.3,"Buxton, Derbyshire",Buxton Brewery,"Can. Deep golden color. Citrus and soft vegetable notes ontheffing aroma. Sweet , tropical and citrusfruit. Grass and soft vegetable notes. Bitter finish. Some odd flavors.",bierkoning
Lonetree Dark,2.6,"Kelowna, British Columbia",Lonetree Old Growth Orchard,"Pours a deep purple (yeah, yeah) with very minimal foam, smells of very floral blackberry juice leaning toward air freshener saccharine. Flavour is more deep berry, very sweet, lingering aftertaste. alcohol is still well hidden, but it's really just a sugar bomb and I'm at a loss to figure out where the apples went.",DeanF
Fourpure Peach State,3.2,"Bermondsey, Greater London",Fourpure Brewing Co. (Lion Co. - Kirin Holdings),"Canned, 330ml from Sainsbury's in Banbury, Oxon. Hazy yellow gold with white head. There is a tartness to this, slight souring but not overly so, certainly peachy in character, tart tangy. A touch thinnish and dulls during drinking but it's fine overall.",imdownthepub
Fuerst Wiacek / Wylam Aeronaut,3.6,"Berlin, Berlin",Fuerst Wiacek,"Can. Yellow color. Grassy, acidic, citric aroma. Grassy hopbitter flavor with citrus. Slightly acidic, soft floral  notes. Grassy hopbitter finish. Nice.",bierkoning
Marks & Spencer Laid Back Cider,3.0,"Paddington, Greater London",Marks & Spencer Stores,"Can, 330ml from Marks & Spencer Superstore in Banbury, Oxon. Gold with no head. Clear apple juice cider, reasonably sharp, straight forward, easy drinking. It's okay.",imdownthepub
Marks & Spencer Southwold Blonde Beer,2.3,"Paddington, Greater London",Marks & Spencer Stores,"Aroma : Lightly toasted sweet caramel malt, delicate aroma of citrus and floral hops.  Taste : As aroma. Medium bodied. Smooth and miedium bitter. Nice warm summer afternoon beer but lacks some punch",FACambridge
BrewDog USA / Evil Twin Roaster Coaster,4.4,"Canal Winchester, Ohio",BrewDog USA,"402 ml can from Tesco, bb unknown, it's fresh I believe.
Very dark mahogany to black, thick tan head.
Nose -, coffee, chocolate, coffee ice cream
Taste - sweet, coffee ice cream.",sebsky
Marks & Spencer Sandringham Diamond Ale,2.9,"Paddington, Greater London",Marks & Spencer Stores,"(from old notes) - Aroma : Strong malty caramel, light touch of orange citrus, hint of vanilla with a grassy/straw note.  Taste : As aroma. Medium bodied. Moderatly bitter throughout. Decent without being a standout",FACambridge
Northern Monk / Pilot Patrons Project 26.01 Deep-Fried Caramel Chocolate Bar Stout,3.3,"Leeds, West Yorkshire",Northern Monk Brew Co.,"440ml can bought at Vinmonopolet Langnes. A beige, lacing head with good duration. Black in the glass. Quite promising smell of coconut and smooth chocolate. Sweet taste profile including caramel, vanilla chocolate and coconut, backbone of lactose. Lightly roasted finish, dominated by sweet chocolate. Way to sweet in the long run, but decent in smaller amounts. (Tromsø 24.04.2020).",Rune
Northern Monk Origin Gluten Free IPA,3.1,"Leeds, West Yorkshire",Northern Monk Brew Co.,Leichtes Standard IPA. Hopfenbetont mit leicht grasigen Noten und moderater Bitterkeit.,Craftakt
Sadler's /  The Great British Brewing Co.  Land Of Liberty ,2.4,"Atherstone, Warwickshire",Aldi (UK),"Aroma : Lightly toasted sweet caramel malt, grapefruit citrus with a bready/yeasty note.  Taste : As aroma. Thin-medium bodied. Refreshing with a nice citric bitter finish. Whilst it's a long way from having the citric punch of an American IPA it's o.k.",FACambridge
Bulmers Original,2.4,"Hereford, Herefordshire",Bulmers - Cider of Hereford (Heineken UK),"500ml bottle bought at Eurospar Langnes. Noisy white head, diminishing over a bright golden body. Scattered lacing. Modest smell of apple skins, semi sweet. Fresh and sweet apple juicy flavours. Prolonged ending. Lively carbonated. Rather sweet, but okay. (Tromsø 24.04.2020).",Rune
Asda Mainbrace IPA,2.1,"Leeds, West Yorkshire",Asda (Wal Mart),"Aroma : Light caramel malt, light herby/grassy hop  Taste : As aroma. Thin body. Moderatly bitter throughout. Not terrible; just a bit boring",FACambridge
North Brewing Co / Stillwater Kveik IPA,3.6,"Leeds, West Yorkshire",North Brewing Co,"440ml can bought at Vinmonopolet Langnes. Lacing rings down the glass from a covering white head. Opaque grey-golden body. Inviting aromas of pineapple and dusty hops. Well balanced taste character of pineapple, bread and passion fruit, integrated kveik beneath. Moments of spruce and late arriving bitterness to the finish. Smooth on the swallow. Fine bodied. Likable.  (Tromsø 24.04.2020).",Rune
Marston's / Harper's North Bridge Brown Ale,2.2,"Atherstone, Warwickshire",Aldi (UK),"Aroma : Medium toasted toffee malt, toasted bread, hint of red fruit with light metallic and earthy notes.  Taste : As aroma. Thin watery body. Lightly bitter throughout. Flavours are understated. A pale immitation of a ""Newcastle Brown""",FACambridge
Founders 4 Giants Double IPA,3.7,"Grand Rapids, Michigan",Founders Brewing Company (Mahou San Miguel),"12oz bottle.  Pretty solid IIPA.  Filtered orange-amber body.  Nice hop depth, seems touched by Mosaic or something to give it that peachy mango juicy tone.  Filtration keeps it drinkable.  Big, deep malt tones nonetheless. Rather neo-classical IIPA.  Good.",nuplastikk
North Brewing Co Volta Blood Orange And Forced Rhubarb Sour ,3.7,"Leeds, West Yorkshire",North Brewing Co,"Sehr cooles Design. Sehr stimmiger Geschmack, dominiert von einer fruchtig sauren Rhabarber Note. Frisch und easy drinking.",Craftakt
Aldi Ghost Dance Chinook Pale Ale,2.0,"Atherstone, Warwickshire",Aldi (UK),"Aroma : Not much. Lightly toasted caramel malt, a little splash of grapefruit citrus, grassy.  Taste : As aroma. Thin & watery. Light & crisp citrus with a very dry finish. Not nasty just very average",FACambridge
Ogopogo Nian Shou IIPA,3.8,"San Gabriel, California",Ogopogo Brewing,"16 ounce can. Pours a clear orange hue with a medium to small white head. A big malty sweet nose, light oranges. Sweet, again big malt forward IIPA, barleywine like, oranges, medium bitterness. Very good.",douglas88
Hogs Back / The Great British Brewing Co. Sunny Dayz ,1.6,"Atherstone, Warwickshire",Aldi (UK),"Aroma : Not much. Lightly toasted caramel malt, hints of lemongrass and pineapple.  Taste : As aroma. Watery body. Flavours are thin, has a gentle drying finish, but is ultimately boring",FACambridge
Firestone Walker Flyjack,1.5,"Paso Robles, California",Firestone Walker Brewing (Duvel-Moortgat),Kind of oddly flavorless. Perhaps the Hazy IPA I drank before has stolen my senses.,bpreo
"Ravens Welcome To The Party, Pal",3.3,"Abbotsford, British Columbia",Ravens Brewing,"Has a nice brownish peach body with okay foam, fresh chewy cranberry and mandarin orange on the nose. Flavour is really tart cranberry, mellow orange notes. No idea where the gose went. Highly fruity and acidic but not bad in that respect.",DeanF
Humpty Dumpty 21st Anniversary,3.8,"Reedham, Norfolk",Humpty Dumpty Brewery,"330ml bottle: BBE Apr 2021. Drank at home on St George's Day 2020, during the virus Lock In. Left the sediment in the bottle, clean amber body, off-white crown. Malty front with some fruit cake like notes in both the nose and taste. Liked it.",BlackHaddock
Sierra Nevada California IPA,3.4,"Chico, California",Sierra Nevada Brewing Company,"Vapaaherrantiellä 4/2020. Quite fresh and citric pale ale, balanced hops. Enjoyable.",kalervo
Asda Gentleman Jack,2.7,"Leeds, West Yorkshire",Asda (Wal Mart),"Aroma : Strong toasty caramel maltiness, hint of autumnal red fruits, little touch of spice with a light earthy note.  Taste : As aroma. Thin-medium body. Moderatly bitter throughout. Decent without being a standout",FACambridge
Emporium Brain Juice,3.6,"Québec, Quebec",Emporium - Microbrasserie,"super fresh can that pours cloudy/milky grey-yellow-orange with a super creamy white-ish head offering good retention and sticky lacing. doughy very peppery peaches, banana-like new englandness, medium long grapefruit bitters, fruity yeast action. moderate carbonation, medium body - oily; warming and tropical-very peppery finish. plain grapefruity, peppery and ultra resinous. bold with a quirky personality.",czar
D's Light American Lager,3.0,"Las Cruces, New Mexico",De La Vega's Pecan Grill and Brewery,"AS with most of their beers, no aroma. Flavor was better than expected. with cereal and corn. Light and clean.",kevinator
Wander Beyond Illicium,3.8,"Manchester, Greater Manchester",Wander Beyond Brewing,"440ml can: BB 31st Jul 2020, canned end of Jan 2020. Drank at home on St George's Day 2020 during the virus Lock In. Hazy golden body, smooth head. Lovely fruit cocktail of a drink, oozes citrus flavours within it's alcoholic kick, like a vicious, viscous smoothie.",BlackHaddock
De La Vega's Pecan Grill American Wheat,2.9,"Las Cruces, New Mexico",De La Vega's Pecan Grill and Brewery,Safe wheat beer with no aroma. Mild pale malt flavor with a yeasty finish. Gold with a slight cloudiness.,kevinator
Wychwood / Harper's Medusa Ruby Red,2.5,"Atherstone, Warwickshire",Aldi (UK),"Aroma : Toasted caramel malt, burnt toast, subtle red fruit undertonewith a light earthy note  Taste : As aroma. Thin watery body. Moderatly bitter throughout. O.K. but just average",FACambridge
D's Green Chile Ale,3.0,"Las Cruces, New Mexico",De La Vega's Pecan Grill and Brewery,"Brewery was advertising this a lager, so not sure. Faint to no aroma. Decent pale malt flavor with a hint of chile. Mild spice.",kevinator
Truth or Consequences Big River India Brown Ale.,3.3,"Truth or Consequences, New Mexico",Truth or Consequences Brewing,Smooth beer with roasty and nutty malts and good hop bitter finish. Medium body.,kevinator
